"Date(UTC)","Unique Address Total Count","Unique Address Receive Count","Unique Address Sent Count"
"06/24/2024","353176","274674","194507"
"06/25/2024","378232","308868","189082"
"06/26/2024","373185","294604","199864"
"06/27/2024","307563","248612","182117"
"06/28/2024","391897","329223","192793"
"06/29/2024","958532","899479","169518"
"06/30/2024","328091","269381","168036"
"07/01/2024","386334","322836","189111"
"07/02/2024","386190","319376","187719"
"07/03/2024","327804","275272","184738"
"07/04/2024","432668","287687","274888"
"07/05/2024","476540","318728","287549"
"07/06/2024","544009","433634","224908"
"07/07/2024","363271","291111","177632"
"07/08/2024","356599","290975","186062"
"07/09/2024","360941","300633","177928"
"07/10/2024","305964","257199","165082"
"07/11/2024","379402","316790","193216"
"07/12/2024","337538","285368","169527"
"07/13/2024","343238","288249","165421"
"07/14/2024","297819","242494","156870"
"07/15/2024","318071","265243","171966"
"07/16/2024","342685","280014","179727"
"07/17/2024","328191","268282","188151"
"07/18/2024","329917","276946","186272"
"07/19/2024","371936","306497","193058"
"07/20/2024","419732","346301","193450"
"07/21/2024","358617","305549","178647"
"07/22/2024","339108","276324","184732"
"07/23/2024","355856","295828","182062"
"07/24/2024","360329","306484","182457"
"07/25/2024","343665","283787","186244"
"07/26/2024","420208","357710","192418"
"07/27/2024","294024","245280","166266"
"07/28/2024","301392","252796","152341"
"07/29/2024","332189","269119","183463"
"07/30/2024","358772","303300","203935"
"07/31/2024","320017","265992","190251"
"08/01/2024","306590","248867","181435"
"08/02/2024","350625","286361","186787"
"08/03/2024","301437","238724","168480"
"08/04/2024","351027","270151","182227"
"08/05/2024","335302","264496","199738"
"08/06/2024","403528","323832","202888"
"08/07/2024","309529","257498","169189"
"08/08/2024","301007","249831","166771"
"08/09/2024","296193","249270","158790"
"08/10/2024","332696","290423","142978"
"08/11/2024","280590","240056","136633"
"08/12/2024","298515","246055","163174"
"08/13/2024","308196","249604","173836"
"08/14/2024","311690","253875","171541"
"08/15/2024","306252","255940","171624"
"08/16/2024","347838","295916","177176"
"08/17/2024","277055","232681","145329"
"08/18/2024","316140","269725","146749"
"08/19/2024","303559","250334","169794"
"08/20/2024","360722","298357","187159"
"08/21/2024","337700","268623","193163"
"08/22/2024","351302","288200","185169"
"08/23/2024","378558","311497","198551"
"08/24/2024","327086","271823","175919"
"08/25/2024","433949","378698","165773"
"08/26/2024","381859","331575","204937"
"08/27/2024","418293","363698","195341"
"08/28/2024","400575","340756","191773"
"08/29/2024","383366","334989","194235"
