"Date(UTC)","Unique Address Total Count","Unique Address Receive Count","Unique Address Sent Count"
"06/02/2024","401699","326192","212453"
"06/03/2024","427293","351439","224744"
"06/04/2024","458384","378456","231148"
"06/05/2024","441658","361208","228110"
"06/06/2024","425210","346408","222210"
"06/07/2024","447947","371241","232677"
"06/08/2024","464877","386058","235638"
"06/09/2024","457004","379456","224519"
"06/10/2024","459493","375354","229864"
"06/11/2024","459311","371697","234779"
"06/12/2024","489866","404570","255202"
"06/13/2024","488556","407605","252421"
"06/14/2024","477645","392129","245008"
"06/15/2024","479653","394060","225052"
"06/16/2024","467205","386932","211881"
"06/17/2024","460187","379064","212163"
"06/18/2024","449368","367029","221180"
"06/19/2024","461069","378535","218998"
"06/20/2024","458772","372814","224962"
"06/21/2024","602118","509569","236809"
"06/22/2024","715175","610802","244685"
"06/23/2024","488072","394595","221369"
"06/24/2024","488059","391868","244001"
"06/25/2024","519209","427750","235762"
"06/26/2024","576016","487437","232242"
"06/27/2024","498441","416738","220160"
"06/28/2024","502812","416422","237881"
"06/29/2024","548482","466560","214097"
"06/30/2024","476480","401721","206448"
"07/01/2024","465703","387015","218152"
"07/02/2024","461147","378770","216194"
"07/03/2024","431815","354141","212563"
"07/04/2024","512671","431142","252164"
"07/05/2024","510888","432243","253434"
"07/06/2024","510828","430451","214666"
"07/07/2024","426343","352688","188292"
"07/08/2024","467575","393527","200914"
"07/09/2024","472257","399376","205727"
"07/10/2024","473449","402206","209990"
"07/11/2024","486024","415861","216107"
"07/12/2024","511372","438788","212361"
"07/13/2024","492201","420614","203554"
"07/14/2024","426130","361381","184302"
"07/15/2024","452407","378063","209573"
"07/16/2024","443724","364564","216122"
"07/17/2024","410378","338074","215689"
"07/18/2024","420504","350870","208250"
"07/19/2024","430291","356978","207137"
"07/20/2024","441695","371701","202869"
"07/21/2024","416845","348457","204719"
"07/22/2024","426857","351991","208477"
"07/23/2024","444825","373374","207021"
"07/24/2024","435472","359638","210593"
"07/25/2024","426941","348591","213672"
"07/26/2024","456175","377010","217987"
"07/27/2024","417009","344164","192060"
"07/28/2024","439370","369671","179227"
"07/29/2024","429385","349877","208718"
"07/30/2024","433660","363267","215740"
"07/31/2024","437083","361880","216514"
"08/01/2024","395677","322961","202752"
"08/02/2024","396577","324717","196898"
"08/03/2024","468344","403400","179358"
"08/04/2024","452674","373997","190111"
"08/05/2024","400811","322417","221089"
"08/06/2024","436244","363762","193466"
"08/07/2024","429983","357937","194626"
"08/08/2024","386527","317673","194299"
"08/09/2024","408485","339980","187519"
"08/10/2024","455105","389507","174234"
"08/11/2024","388177","321583","174180"
"08/12/2024","360768","294921","182526"
"08/13/2024","409033","334090","204608"
"08/14/2024","590592","520699","220039"
"08/15/2024","550053","484649","185584"
"08/16/2024","450800","388774","188194"
"08/17/2024","416777","357635","166365"
"08/18/2024","415785","354595","171160"
"08/19/2024","385494","320118","180049"
"08/20/2024","395081","327369","189176"
"08/21/2024","418004","351169","193766"
